sale_id,表示順,フェーズ,日付,曜日,曜日色,カード色,タグ,バッジ,テーマ,訴求コピー,誘導先
2026-06-ss,13,main,6/12,金曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 本日23:59まで,0のつく日 ラストコール ＋ SALE残り8日,"⏰ 0のつく日 本日23:59まで！SALE残り8日🔔 高速バスも最大1,000円割引だよ🚌 週末旅行の計画はできてる？まだなら今すぐチェック！",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,14,main,6/13,土曜日,sat,main,main,main:本SALE,週末旅行 ＋ 国内宿泊ポイントバックキャンペーン訴求,"🌅 今週末もスーパーSALE開催中！旅行予約が毎日最大30%OFF。エントリー＆ご旅行で抽選2,500名様に最大全額ポイントバックも忘れずに🎯 残り7日！",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,15,main,6/14,日曜日,sun,main,main,main:本SALE,夏のアミューズメント訴求（東京サマーランド・ムーミン）,☀️ 夏のお出かけ計画はもうできてる？東京サマーランド感謝デーのチケット・ムーミンバレーパーク 1デーパスもSALE対象！旅行とセットで計画しよう🌱 残り6日！,"東京サマーランド :: https://experiences.travel.rakuten.co.jp/experiences/51601
ムーミンバレーパーク :: https://experiences.travel.rakuten.co.jp/experiences/25531"
2026-06-ss,16,main,6/15,月曜日,,50day,main 50day,main:本SALE 残り5日 | 50day:⏰ 5のつく日 START（〜6/17 23:59）,5のつく日 72時間スタート ＋ SALE残り5日 決め時！,✨ 5のつく日スタート！今から72時間！SALE残り5日、まだ迷ってる方はここが決め時🔥 最大30%OFFで夏の旅行を予約しよう！初めてのアプリ予約なら最大35%OFF！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,17,main,6/16,火曜日,,50day,main 50day,main:本SALE 残り4日 | 50day:⏰ 5のつく日 継続中,エントリーリマインダー ＋ 楽天モバイル当選確率2倍,"🎯 エントリーはもうしてある？国内宿泊エントリー＆ご旅行で抽選2,500名様に最大全額ポイントバック！楽天モバイルなら当選確率2倍✨ SALE残り4日、急いで！",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,18,main,6/17,水曜日,,50day,main 50day,main:本SALE 残り3日 | 50day:⏰ 5のつく日 本日23:59まで,5のつく日 ラストコール ＋ OSAKA GIGANTIC MUSIC FESTIVAL訴求,🎵 5のつく日 本日23:59まで！OSAKA GIGANTIC MUSIC FESTIVAL 2026のEチケット販売中🎪 旅行もフェスも、残り3日！今すぐチェックして！,"公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
OSAKA GIGANTIC :: https://experiences.travel.rakuten.co.jp/experiences/62579"
2026-06-ss,19,main,6/18,木曜日,,main,main,main:本SALE 残り2日,残り2日！カウントダウン緊急訴求,🚨 SALE残り2日！旅行予約が毎日最大30%OFF。まだ予約していない方はラストチャンス！週末の旅行もまだ間に合うよ👇 急いで！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,20,main,6/19,金曜日,,main,main,main:本SALE 明日最終日,ラストウォーニング ＋ 最終確認を促す,⚡️ 明日が最終日！楽天トラベル スーパーSALE は明日6月20日(土)23:59まで。見逃した旅行先はないか最終確認を！テーマパーク・水族館チケットも今がラストチャンス👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,21,main,6/20,土曜日,sat,last,main last 50day,last:🔴 本日最終日 | 50day:⏰ 0のつく日 START（23:59まで）,ラストコール！最終日 ＋ 0のつく日スタート,🔴 本日最終日！楽天トラベル スーパーSALE 6月20日(土)23:59まで！今日は0のつく日で特別開催中🌟 最大30%OFFを今すぐ！逃したら後悔するよ👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
common,1,fifty,,,,50day,50day,50day:5と0のつく日,5と0の日スタート｜予約日を合わせるだけ,📅 楽天トラベルをお得に使うなら、予約する日を意識するだけで変わります。毎月5・10・15・20・25・30日はポイントアップとクーポンが重なるタイミング。旅行自体が先でも、予約日だけこの日に合わせればOKです👇,5と0の日 TOP :: https://travel.rakuten.co.jp/camp/50luxday/top/?l-id=camp_50luxday_top
common,2,fifty,,,,50day,50day,50day:5と0のつく日,ホテル・宿 訴求,🏨 5と0のつく日はホテル・宿の割引クーポンが配布されます。気になっている宿があるなら、このタイミングで予約するのが正解✨ エントリーを忘れずに！,ホテル・宿 :: https://travel.rakuten.co.jp/camp/50luxday/?lid=camp_50pointday_navi_hotel&scid=af_pc_etc&sc2id=af_112_0_10002848
common,3,fifty,,,,50day,50day,50day:5と0のつく日,遊び・体験 訴求,🎢 5と0のつく日は遊び・体験のチケットも対象。テーマパークや水族館の前売りチケットもお得に取れるタイミングです🐟 おでかけの予定がある方はチェック！,遊び・体験 :: https://travel.rakuten.co.jp/camp/50luxday/rte/?scid=camp_50pointday_rte
2026-09-ss,1,announce,8/28,金曜日,,announce,announce,announce:告知スタート,開幕告知！9/4(金)20時スタート,🎊 楽天トラベル スーパーSALE、9月4日(金)20時スタート！旅行予約が毎日最大35%OFF✨ 告知期間の今から対象ホテルは見られます。開幕と同時に予約できるよう、目星をつけておこう👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,2,announce,8/29,土曜日,sat,announce,announce,announce:告知,ホテル最大35%OFF 下見のすすめ,🏨 SALE開幕まであと6日。最大35%OFFになる対象ホテルはもう公開されています。人気宿は開幕直後に埋まるので、週末のうちに候補を絞っておくのがおすすめです☺️,ホテル最大35%OFF :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_34&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,3,announce,8/30,日曜日,sun,announce,announce,announce:告知,テーマパーク提携ホテル 最大25%OFF,🎢 テーマパークに行くなら提携ホテルが最大25%OFF🎡 パーク直結・送迎ありの宿はSALE中に争奪戦になります。今のうちに第3候補まで決めておくと安心です！,テーマパーク提携ホテル :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_35&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,4,announce,8/31,月曜日,,announce,announce,announce:告知,チェーンホテル 最大33%OFF,🏩 チェーンホテルは最大33%OFF。全国どこでも使えて、出張にも弾丸旅行にも便利です✈️ 明日10時からは一部会員向けの先行SALEもスタート⏰,チェーンホテル :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_20&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,5,announce,9/1,火曜日,,pre,announce,announce:告知最終日 | pre:先行SALE 10:00〜,先行SALEスタート！※一部会員限定,⚡️ 本日10時から先行SALEスタート！（一部会員限定）半額プランやチェーンホテルを、本番を待たずに押さえられます🔥 対象の方はメールをチェックしてみて！,"半額プラン :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss260950_14&f_charge_users=2&scid=af_trv_2026uurakuten
チェーンホテル :: https://travel.rakuten.co.jp/special/special-offers/chain/202609/?scid=af_trv_2026uurakuten"
2026-09-ss,6,announce,9/2,水曜日,,pre,announce,pre:先行SALE,半額プラン 先行チェック,🏷️ 先行SALEの目玉は半額プラン。数量限定なので、対象の方はお早めに✨ 対象外だった方も、9/4(金)20時の本番で同じプランが狙えます📅,半額プラン :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss260950_14&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,7,announce,9/3,木曜日,,pre,announce,pre:先行SALE,開幕前日！エントリーリマインド,"📣 明日20時、いよいよ本番スタート！エントリー＆ご旅行で抽選2,500名様に最大全額ポイントバック🎯 楽天モバイルご利用なら当選確率2倍！予約前のエントリーをお忘れなく",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,8,announce,9/4,金曜日,,main,announce main,pre:先行SALE 最終日 | main:🎉 本SALE 20:00〜,本SALE開幕！毎日最大35%OFF,🎉 キタ！楽天トラベル スーパーSALEが今夜20時に開幕！旅行予約が毎日最大35%OFF✨ 初めてのアプリ予約ならクーポン＋SALEプランでさらにお得。10月1日(木)朝9:59まで！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,9,main,9/5,土曜日,sat,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 START（〜9/7 23:59）,5のつく日 72時間スタート ＋ 初の週末,⏰ 5のつく日スタート！今回は72時間に延長🔥 SALEと重なって旅行予約が最大35%OFF。週末のうちに秋旅の計画を立てて、そのまま予約しちゃおう🍁,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,10,main,9/6,日曜日,sun,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 継続中,"最大4,000円割引クーポン","🎫 最大4,000円割引クーポンは「取得してから予約」が鉄則！5のつく日と重ねれば割引×ポイントのW取りになります💰 取り忘れに注意",割引クーポン :: https://event.travel.rakuten.co.jp/special/sales/coupon/4000.html?scid=af_trv_2026uurakuten
2026-09-ss,11,main,9/7,月曜日,,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 本日23:59まで,5のつく日 ラストコール,⚡️ 5のつく日は本日23:59まで！迷っている宿があるなら今日中に📅 旅行日が先でも、予約日をこの日に合わせるだけで還元が変わります,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,12,main,9/8,火曜日,,main,main,main:本SALE,"楽パック 最大30,000円クーポン","✈️ 交通＋宿の楽パックは最大30,000円クーポン！別々に取るより安くなるケースが多いです🚄 新幹線＋宿のプランもあるので国内の遠出にも◎",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,13,main,9/9,水曜日,,main,main,main:本SALE,レンタカー 最大50%OFF,🚗 レンタカーが最大50%OFF！宿とセットで押さえると行動範囲が一気に広がります🍁 紅葉ドライブを考えているなら今のうちに,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,14,main,9/10,木曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 START（〜9/12 23:59）,0のつく日 72時間スタート,🎊 0のつく日スタート！こちらも72時間🔥 SALE×5と0の日は還元率が跳ね上がるタイミングです。週末旅行の予約はこの3日間で決めよう！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,15,main,9/11,金曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 継続中,スーパーDEAL 高還元,💰 スーパーDEAL対象なら、支払った金額の一部がポイントで戻ってきます✨ 割引とポイント還元を同時に取れるのはSALE期間だけ！,スーパーDEAL :: https://travel.rakuten.co.jp/superdeal/special/ss2609/index.html?scid=af_trv_2026uurakuten
2026-09-ss,16,main,9/12,土曜日,sat,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 本日23:59まで,0のつく日 最終日 ＋ 週末,⏰ 0のつく日は本日23:59まで！週末に予定を決めて、その勢いで予約するのが一番おトクです🏨 来週は5連休前の駆け込みで一気に埋まります,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,17,main,9/13,日曜日,sun,main,main,main:本SALE,遊び・体験 最大30%OFF,🎡 遊び・体験のチケットが最大30%OFF！水族館・テーマパーク・アクティビティも宿と一緒に予約すると計画がラクになります🐟,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,18,main,9/14,月曜日,,main,main,main:本SALE,SALE限定プラン訴求,⏳ SALE期間だけの限定プランをチェック！通常では出てこない条件の宿が並びます✨ 気になったら早めに押さえるのが正解です,限定プラン :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609lm_14&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,19,main,9/15,火曜日,,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 START（〜9/17 23:59）,5のつく日 START ＋ 5連休が目前,🔥 5のつく日スタート、今から72時間！そして今週末からは9/19〜9/23の5連休🍁 連休の宿は埋まる一方なので、予約はこのタイミングが勝負です,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,20,main,9/16,水曜日,,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 継続中,エントリー＆ポイントバック訴求,"🎯 エントリーはもう済んでる？エントリー＆ご旅行で抽選2,500名様に最大全額ポイントバック！楽天モバイルご利用なら当選確率2倍✨ 予約の前に必ずエントリーを",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,21,main,9/17,木曜日,,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 本日23:59まで,5のつく日 ラストコール ＋ 連休2日前,⚡️ 5のつく日は本日23:59まで！5連休は目前ですが、直前でも取れる宿はまだあります🏨 今日中に押さえておくのが一番おトク,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,22,main,9/18,金曜日,,main,main,main:本SALE,5連休 前日！直前予約,🍁 明日から9/19〜9/23の5連休！まだ間に合います。最大35%OFFで直前予約できる宿を探そう🚗 レンタカーも最大50%OFFなので移動込みで組むのが◎,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,23,main,9/19,土曜日,sat,main,main,main:本SALE,5連休スタート,🎉 5連休スタート！お出かけ中の方も、次の旅行の予約はSALE期間中に済ませるのが正解です✨ 最大35%OFFは10/1(木)朝9:59まで,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,24,main,9/20,日曜日,sun,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 START（〜9/22 23:59）,0のつく日 START ＋ 連休ど真ん中,🔥 連休のど真ん中で0のつく日スタート！しかも72時間。旅先からスマホで、次の旅行をお得に予約できるチャンスです📱,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,25,main,9/21,月曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 継続中,敬老の日 ＋ 0のつく日,🎁 今日は敬老の日。プレゼントに家族旅行はいかがですか？温泉宿も最大35%OFFで狙えます♨️ 0のつく日と重なって、今が一番おトクなタイミング,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,26,main,9/22,火曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 本日23:59まで,0のつく日 最終日 ＋ 連休4日目,⏰ 0のつく日は本日23:59まで！連休中に年末年始の宿まで押さえる人も増えています📅 予約日を今日に合わせるだけで還元が変わります,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,27,main,9/23,水曜日,,main,main,main:本SALE,連休最終日 ＋ 秋旅・年末訴求,🍁 5連休最終日。次の三連休や年末年始の宿はもう押さえた？SALEは10/1(木)朝9:59まで、早く動くほど選択肢が多いです✨,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,28,main,9/24,木曜日,,main,main,main:本SALE,"海外旅行 最大50,000円クーポン","🌏 海外旅行は最大50,000円クーポン！年末年始の海外を考えているなら、このSALEで押さえておくのが正解です✈️",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,29,main,9/25,金曜日,,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 START（〜9/27 23:59）,5のつく日 START ＋ SALE残り1週間,⏰ 5のつく日スタート、今から72時間🔥 SALE本体も残り1週間を切りました。迷っている宿があるなら、この3日間が最後の狙い目です,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,30,main,9/26,土曜日,sat,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 継続中,"高速バス 最大1,000円クーポン","🚌 高速バスは最大1,000円クーポン！交通費を抑えたぶん宿にお金をかけられます💡 学生さんや弾丸旅行にもおすすめの組み合わせ",公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,31,main,9/27,日曜日,sun,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 本日23:59まで,5のつく日 ラストコール,⚡️ 5のつく日は本日23:59まで！SALE本体も残り4日です⏳ 週末のうちに予約を済ませておきましょう,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,32,main,9/28,月曜日,,main,main,main:本SALE 残り3日,割引クーポン 再訴求,"🎫 最大4,000円割引クーポン、取り忘れていませんか？取得してから予約するだけで金額が変わります💰 SALEは10/1(木)朝9:59まで！",割引クーポン :: https://event.travel.rakuten.co.jp/special/sales/coupon/4000.html?scid=af_trv_2026uurakuten
2026-09-ss,33,main,9/29,火曜日,,main,main,main:本SALE 残り2日,限定プラン ラストチャンス,⏳ SALE限定プランは終了と同時に消えます。気になっていた宿があるなら今のうちに🏨 残り2日、見逃しがないか最終チェックを,限定プラン :: https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609lm_14&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,34,main,9/30,水曜日,,50day,main 50day,main:本SALE 明日最終日 | 50day:⏰ 0のつく日 START,0のつく日 ＋ 明日でSALE終了,🚨 0のつく日スタート、そしてSALEは明日10/1(木)朝9:59で終了！最後の駆け込みチャンスです🔥 見逃した宿がないか最終チェックを,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-09-ss,35,main,10/1,木曜日,,last,main last 50day,last:🔴 本日9:59まで | 50day:⏰ 0のつく日 継続中,最終日！朝9:59でSALE終了,🔴 本日9:59でスーパーSALE終了！朝までのラストスパートです⏰ 最大35%OFFは今日の午前まで。迷っていた宿は今すぐ押さえて！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
