sale_id,区分,グループ,グループ日付,グループ色,表示順,アイコン,アイコン色,番号,タイトル,割引表記,割引色,注記,URL
2026-06-ss,plan,告知期間,5/31(日) 〜,b-ann,3,🏩,ic-teal,LINK ③,チェーンホテル,最大33%OFF,,,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2606cp_11&f_charge_users=2&scid=af_trv_2026uurakuten
2026-06-ss,plan,先行SALE,6/1(月) 10:00 〜,b-pre,1,🏷️,ic-gold,LINK ⑥,半額プラン,最大50%OFF,d-gold,プラン公開：6/1 10:00,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss260650_14&f_charge_users=2&scid=af_trv_2026uurakuten
2026-06-ss,plan,先行SALE,6/1(月) 10:00 〜,b-pre,2,⛓️,ic-teal,LINK +,"チェーン
スペシャルオファー",最大28%OFF,,LP表記 ※SALEページは33%,https://travel.rakuten.co.jp/special/special-offers/chain/202606/?scid=af_trv_2026uurakuten
2026-06-ss,plan,本番SALE,6/4(木) 20:00 〜,b-main,1,🎫,ic-red,LINK ⑦,割引クーポン,"最大4,000円OFF",,ページ公開：6/4 20:00,https://event.travel.rakuten.co.jp/special/sales/coupon/4000.html?scid=af_trv_2026uurakuten
2026-06-ss,plan,本番SALE,6/4(木) 20:00 〜,b-main,2,💰,ic-blue,LINK ⑧,"Rakuten
スーパーDEAL",30%ポイント還元,d-teal,,https://travel.rakuten.co.jp/superdeal/special/ss2606/index.html?scid=af_trv_2026uurakuten
2026-06-ss,plan,本番SALE,6/4(木) 20:00 〜,b-main,3,⏰,ic-green,LINK ⑨,期間限定プラン,限定特価,,公開：6/4 20:00,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2606lm_14&f_charge_users=2&scid=af_trv_2026uurakuten
common,always,常時開催中のキャンペーン,,teal,1,✈️,,,"楽パック
（交通＋宿）",まとめて予約でお得,,,https://travel.rakuten.co.jp/package/
common,always,常時開催中のキャンペーン,,teal,2,💳,,,楽天カード,ポイント2.5倍,,,https://travel.rakuten.co.jp/card/campaign/
common,always,常時開催中のキャンペーン,,teal,3,📱,,,"楽天モバイル
ご契約者特典",国内宿泊でポイント2倍,,,https://travel.rakuten.co.jp/camp/mobile/?l-id=common_lp_point2x
common,always,常時開催中のキャンペーン,,teal,4,🎯,,,"アプリ予約
ポイント特典","最大5,000ポイント",,,https://travel.rakuten.co.jp/camp/mobile/point/?l-id=DP_ichioshi_camp_mobile_point
common,always,常時開催中のキャンペーン,,teal,5,🎁,,,"初めての
ご利用","宿泊5,000ポイント",,,https://travel.rakuten.co.jp/camp/service_debut/
common,always,常時開催中のキャンペーン,,teal,6,👥,,,友達紹介,"3,000円OFF",,,https://event.rakuten.co.jp/group/collab/mnoreferral_travel/?l-id=topC_ichioshi_camp_mobile_referral
common,always,常時開催中のキャンペーン,,teal,7,🏞️,,,ふるさと納税,旅行で使える返礼品,,,https://travel.rakuten.co.jp/special/furusato/?l-id=trv_header_service_furusato
2026-09-ss,plan,告知期間,8/28(金) 10:00 〜,b-ann,1,🏨,ic-red,LINK ①,ホテル,最大35%OFF,,,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_34&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,plan,告知期間,8/28(金) 10:00 〜,b-ann,2,🎢,ic-orange,LINK ②,"テーマパーク
提携ホテル",最大25%OFF,,,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_35&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,plan,告知期間,8/28(金) 10:00 〜,b-ann,3,🏩,ic-teal,LINK ③,チェーンホテル,最大33%OFF,,,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_20&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,plan,先行SALE,9/1(火) 10:00 〜,b-pre,1,🏨,ic-red,LINK ④,ホテル,最大35%OFF,,一部会員限定,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609cp_34&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,plan,先行SALE,9/1(火) 10:00 〜,b-pre,2,🎢,ic-orange,LINK ⑤,"テーマパーク
提携ホテル",最大25%OFF,,,https://travel.rakuten.co.jp/themepark/special-offers/?scid=af_trv_2026uurakuten
2026-09-ss,plan,先行SALE,9/1(火) 10:00 〜,b-pre,3,⛓️,ic-teal,LINK ⑥,"チェーン
スペシャルオファー",最大33%OFF,,,https://travel.rakuten.co.jp/special/special-offers/chain/202609/?scid=af_trv_2026uurakuten
2026-09-ss,plan,先行SALE,9/1(火) 10:00 〜,b-pre,4,🏷️,ic-gold,LINK ⑦,半額プラン,最大50%OFF,d-gold,数量限定,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss260950_14&f_charge_users=2&scid=af_trv_2026uurakuten
2026-09-ss,plan,本番SALE,9/4(金) 20:00 〜,b-main,1,🎫,ic-red,LINK ⑧,割引クーポン,"最大4,000円OFF",,,https://event.travel.rakuten.co.jp/special/sales/coupon/4000.html?scid=af_trv_2026uurakuten
2026-09-ss,plan,本番SALE,9/4(金) 20:00 〜,b-main,2,💰,ic-blue,LINK ⑨,"Rakuten
スーパーDEAL",高ポイント還元,d-teal,,https://travel.rakuten.co.jp/superdeal/special/ss2609/index.html?scid=af_trv_2026uurakuten
2026-09-ss,plan,本番SALE,9/4(金) 20:00 〜,b-main,3,⏰,ic-green,LINK ⑩,期間限定プラン,限定特価,,,https://search.travel.rakuten.co.jp/ds/undated/search?f_dai=japan&f_sort=hotel&f_page=1&f_hyoji=30&f_tab=hotel&f_cd=02&f_layout=grid&f_campaign=17ss2609lm_14&f_charge_users=2&scid=af_trv_2026uurakuten
